source_id,gincdif,freehms,stflife,happy,trstprl
69461,3,2,8,9,6
69495,3,3,8,7,1
69549,1,5,10,10,0
69551,2,2,6,7,6
69583,1,4,8,8,2
69652,2,2,10,10,0
69660,1,5,,4,0
69675,1,3,8,8,3
69772,3,2,6,6,2
69832,1,4,7,7,6
69869,2,4,8,7,0
69872,2,4,9,5,8
69902,4,2,6,6,0
69911,1,4,3,8,6
69931,1,5,10,10,7
69934,4,4,5,10,0
69942,2,4,9,8,8
69948,,2,10,10,0
69980,1,3,7,8,4
70045,1,2,7,8,2
70050,2,4,10,9,3
70062,2,4,7,8,3
70066,3,,9,8,5
70084,2,5,,10,3
70109,2,4,0,5,0
70113,1,3,3,5,1
70116,2,4,10,10,5
70133,3,4,4,8,3
70138,2,3,8,10,5
70160,3,5,10,9,3
70171,2,2,8,9,5
70193,2,2,9,10,2
70259,2,1,7,7,6
70327,2,5,7,7,5
70346,2,2,10,7,2
70352,4,4,8,8,4
70374,3,1,9,9,4
70412,1,5,7,8,6
70430,2,4,9,8,9
70441,2,3,7,6,4
70497,2,3,7,8,4
70509,4,2,8,9,6
70518,1,3,7,7,5
70544,1,5,0,6,0
70549,1,2,8,8,4
70578,1,4,6,5,0
70736,2,2,5,8,1
70744,1,5,3,1,0
70752,2,4,8,8,5
70762,3,3,6,7,4
70876,4,2,8,10,8
70906,2,3,7,9,0
70915,1,3,6,8,2
70918,3,3,7,8,2
70922,2,4,5,5,0
70937,1,2,9,9,3
70949,2,2,8,8,6
70995,1,3,,5,0
70997,2,2,9,9,6
71039,1,2,7,7,2
71046,1,4,4,4,4
71049,2,1,8,8,
71104,2,2,10,9,5
71122,2,4,8,8,3
71135,1,2,7,8,4
71152,2,4,7,7,3
71195,,5,10,8,2
71213,2,2,8,10,6
71221,1,5,8,7,4
71228,2,2,8,8,4
71244,2,2,8,7,3
71252,2,2,4,7,0
71302,2,2,7,7,1
71306,2,2,7,0,8
71319,2,4,7,10,0
71365,1,2,5,7,8
71416,4,,8,9,3
71418,2,4,9,9,5
71442,1,5,6,7,0
71514,2,4,7,8,0
71516,1,4,6,9,4
71526,3,1,9,9,5
71534,2,4,10,10,5
71547,2,2,5,5,4
71554,2,2,5,5,0
71660,1,5,8,8,0
71682,2,4,6,9,5
71803,3,3,7,7,5
71834,4,4,7,7,7
71856,1,5,3,7,0
71895,2,3,9,9,3
71922,2,1,5,8,5
71938,2,2,8,8,6
71967,3,2,9,9,3
71980,3,3,5,4,5
72017,4,2,9,8,7
72032,4,3,9,8,7
72056,2,3,5,9,2
72066,1,3,8,8,3
72084,3,1,7,8,7
72110,2,2,8,8,5
72124,1,4,5,7,0
72127,2,4,7,7,5
72144,4,4,9,9,0
72157,1,5,6,4,1
